forecast_date,target,target_end_date,location,type,quantile,value
2021-01-28,1 wk ahead inc death,2021-02-06,56,quantile,0.025,36.70357811990976
2021-01-28,1 wk ahead cum death,2021-02-06,56,quantile,0.025,651.4321684941223
2021-01-28,2 wk ahead inc death,2021-02-13,56,quantile,0.025,28.291503939819126
2021-01-28,2 wk ahead cum death,2021-02-13,56,quantile,0.025,679.7236724339415
2021-01-28,3 wk ahead inc death,2021-02-20,56,quantile,0.025,20.827118156993212
2021-01-28,3 wk ahead cum death,2021-02-20,56,quantile,0.025,700.5507905909346
2021-01-28,4 wk ahead inc death,2021-02-27,56,quantile,0.025,14.944240510021423
2021-01-28,4 wk ahead cum death,2021-02-27,56,quantile,0.025,715.495031100956
2021-01-28,5 wk ahead inc death,2021-03-06,56,quantile,0.025,10.494113790436996
2021-01-28,5 wk ahead cum death,2021-03-06,56,quantile,0.025,725.989144891393
2021-01-28,6 wk ahead inc death,2021-03-13,56,quantile,0.025,7.327913629703559
2021-01-28,6 wk ahead cum death,2021-03-13,56,quantile,0.025,733.3170585210967
2021-01-28,7 wk ahead inc death,2021-03-20,56,quantile,0.025,5.108369045775504
2021-01-28,7 wk ahead cum death,2021-03-20,56,quantile,0.025,738.4254275668723
2021-01-28,8 wk ahead inc death,2021-03-27,56,quantile,0.025,3.566755179481344
2021-01-28,8 wk ahead cum death,2021-03-27,56,quantile,0.025,741.9921827463537
2021-01-28,1 wk ahead inc death,2021-02-06,56,quantile,0.100,37.67129547523632
2021-01-28,1 wk ahead cum death,2021-02-06,56,quantile,0.100,652.459404056053
2021-01-28,2 wk ahead inc death,2021-02-13,56,quantile,0.100,29.464980170549932
2021-01-28,2 wk ahead cum death,2021-02-13,56,quantile,0.100,681.9243842266028
2021-01-28,3 wk ahead inc death,2021-02-20,56,quantile,0.100,21.218000620219463
2021-01-28,3 wk ahead cum death,2021-02-20,56,quantile,0.100,703.1423848468222
2021-01-28,4 wk ahead inc death,2021-02-27,56,quantile,0.100,15.011724756212352
2021-01-28,4 wk ahead cum death,2021-02-27,56,quantile,0.100,718.1541096030345
2021-01-28,5 wk ahead inc death,2021-03-06,56,quantile,0.100,10.707339989078925
2021-01-28,5 wk ahead cum death,2021-03-06,56,quantile,0.100,728.8614495921133
2021-01-28,6 wk ahead inc death,2021-03-13,56,quantile,0.100,7.576168257939456
2021-01-28,6 wk ahead cum death,2021-03-13,56,quantile,0.100,736.4376178500527
2021-01-28,7 wk ahead inc death,2021-03-20,56,quantile,0.100,5.313846696970906
2021-01-28,7 wk ahead cum death,2021-03-20,56,quantile,0.100,741.7514645470236
2021-01-28,8 wk ahead inc death,2021-03-27,56,quantile,0.100,3.706452334573443
2021-01-28,8 wk ahead cum death,2021-03-27,56,quantile,0.100,745.4579168815969
2021-01-28,1 wk ahead inc death,2021-02-06,56,quantile,0.250,38.37465626897649
2021-01-28,1 wk ahead cum death,2021-02-06,56,quantile,0.250,653.8716573375197
2021-01-28,2 wk ahead inc death,2021-02-13,56,quantile,0.250,30.11386997759773
2021-01-28,2 wk ahead cum death,2021-02-13,56,quantile,0.250,683.9855273151173
2021-01-28,3 wk ahead inc death,2021-02-20,56,quantile,0.250,22.6051417369816
2021-01-28,3 wk ahead cum death,2021-02-20,56,quantile,0.250,706.590669052099
2021-01-28,4 wk ahead inc death,2021-02-27,56,quantile,0.250,16.270360150969008
2021-01-28,4 wk ahead cum death,2021-02-27,56,quantile,0.250,722.8610292030678
2021-01-28,5 wk ahead inc death,2021-03-06,56,quantile,0.250,11.403351104897256
2021-01-28,5 wk ahead cum death,2021-03-06,56,quantile,0.250,734.264380307965
2021-01-28,6 wk ahead inc death,2021-03-13,56,quantile,0.250,7.898515082012307
2021-01-28,6 wk ahead cum death,2021-03-13,56,quantile,0.250,742.1628953899774
2021-01-28,7 wk ahead inc death,2021-03-20,56,quantile,0.250,5.450222318518323
2021-01-28,7 wk ahead cum death,2021-03-20,56,quantile,0.250,747.6131177084957
2021-01-28,8 wk ahead inc death,2021-03-27,56,quantile,0.250,3.765023670122581
2021-01-28,8 wk ahead cum death,2021-03-27,56,quantile,0.250,751.3781413786184
2021-01-28,1 wk ahead inc death,2021-02-06,56,quantile,0.500,38.88290664282188
2021-01-28,1 wk ahead cum death,2021-02-06,56,quantile,0.500,655.353349602838
2021-01-28,2 wk ahead inc death,2021-02-13,56,quantile,0.500,30.722200314275057
2021-01-28,2 wk ahead cum death,2021-02-13,56,quantile,0.500,686.075549917113
2021-01-28,3 wk ahead inc death,2021-02-20,56,quantile,0.500,22.82850133745547
2021-01-28,3 wk ahead cum death,2021-02-20,56,quantile,0.500,708.9040512545686
2021-01-28,4 wk ahead inc death,2021-02-27,56,quantile,0.500,16.4022493307995
2021-01-28,4 wk ahead cum death,2021-02-27,56,quantile,0.500,725.306300585368
2021-01-28,5 wk ahead inc death,2021-03-06,56,quantile,0.500,11.602145759897041
2021-01-28,5 wk ahead cum death,2021-03-06,56,quantile,0.500,736.9084463452651
2021-01-28,6 wk ahead inc death,2021-03-13,56,quantile,0.500,8.143518288364733
2021-01-28,6 wk ahead cum death,2021-03-13,56,quantile,0.500,745.05196463363
2021-01-28,7 wk ahead inc death,2021-03-20,56,quantile,0.500,5.627695734825279
2021-01-28,7 wk ahead cum death,2021-03-20,56,quantile,0.500,750.6796603684552
2021-01-28,8 wk ahead inc death,2021-03-27,56,quantile,0.500,3.902522485687567
2021-01-28,8 wk ahead cum death,2021-03-27,56,quantile,0.500,754.5821828541427
